29章 天下神器
30章 物状则老
31章 用兵贵右
32章 道常无名
33章 不失其所
34章 大道泛兮
35章 往而不害
36章 国之利器
37章 道常无为
38章 上德无德
39章 天清地宁
40章 道之动用
41章 上士闻道
42章 负阴抱阳
43章 不言之教
44章 知足不辱
45章 大成若缺
46章 天下有道
47章 不行而知
48章 为道日损
49章 圣无常心
50章 出生入死
51章 尊道贵德
52章 天下有始
53章 大道甚夷
54章 善建不拔
1章 可道非道
55章 含德之厚
56章 知者不言
4章 冲而用之
57章 以正治国
58章 其政闷闷
59章 深根固柢
60章 德交归焉
61章 以静为下
62章 坐进此道
63章 终无难矣
64章 慎终如始
